FDI source	destination	IMF CDIS data (2015)	Total ultimate investor uncertainty	Lower estimate (75% confidence)	Median estimate	Upper estimate (75% confidence)
CH	IN	14674.38	0.885	4079.285	8535.535	13090.66
SY	IN	0.06	0	0	0	0
TW	IN	153.35	0.565	288.13	661.639	2288.866
TJ	IN	0.47	0	0	0	0
TH	IN	565.18	0	568.39	601.497	883.519
TG	IN	1.63	0	0	0	0
TN	IN	0.00	0	0.023	0.466	6.972
TR	IN	78.82	0.708	63.568	97.362	258.698
UG	IN	11.10	0	0	0	0
UA	IN	4.36	0	0	0	0
AE	IN	2050.67	0.724	1448.082	2300.33	4362.334
GB	IN	45801.71	0.806	14817.26	26491.61	39568.74
US	IN	50151.84	0.325	72227.9	90135.91	113143.6
VU	IN	0.15	0	0	0	0
VE	IN	0.00	0	0.125	1.596	26.366
VN	IN	0.89	0	0	0	0
VG	IN	511.75	0.975	0	0	0
n.a.	IN	1187.24	0	0	0	0
AF	RU	1.60	0	0	0	0
DZ	RU	0.22	0	0.219	0.219	0.219
AI	RU	0.93	0	0	0	0
AM	RU	102.20	0	102.199	102.199	102.199
AU	RU	31.50	0.734	27.776	43.981	165.224
AT	RU	4747.70	0.854	1458.116	2919.185	5181.02
AZ	RU	134.88	0	134.876	134.876	134.876
BS	RU	21297.17	0	0	0	0
BH	RU	0.00	0	0.047	0.786	16.198
BD	RU	0.33	0	0	0	0
BY	RU	325.59	0	329.856	357.112	497.37
BE	RU	1039.75	0.97	662.524	1423.373	3471.072
BZ	RU	208.58	0	185.107	678.096	2298.4
BM	RU	13562.37	0	0	0	0
BR	RU	0.02	0	0.029	0.238	4.813
BN	RU	0.01	0	0	0	0
BG	RU	24.71	0.57	16.266	24.636	28.172
KH	RU	0.35	0	0	0	0
CA	RU	81.39	0.92	299.484	779.171	2344.744
KY	RU	-188.87	0	0	0	0
HK	RU	361.90	0.995	0.167	2.317	36.59
CN	RU	1683.01	0	1789.007	2025.508	2797.349
CO	RU	0.04	0	0.001	0.024	0.642
CD	RU	0.10	0	0	0	0
CG	RU	0.06	0	0.062	0.062	0.062
HR	RU	20.60	0	22.947	37.409	119.423
CY	RU	86280.73	0.391	0.118	2.211	38.283
CZ	RU	197.71	0.902	687.422	1857.953	5353.343
DK	RU	295.09	0.59	231.631	329.736	644.114
DM	RU	0.00	0	0.422	4.975	68.036
EC	RU	0.20	0	0	0	0
EE	RU	112.52	0.951	17.893	73.192	123.571
FI	RU	6759.66	0.692	4030.501	6564.909	8703.84
FR	RU	9961.61	0.263	10515.211	12291.99	15390.773
GE	RU	3.45	0	3.448	3.448	3.448
DE	RU	13523.18	0.69	7553.103	11059.029	13628.641
GI	RU	36.69	0.131	0	0	0
GR	RU	86.90	0	98.084	145.097	385.672
GG	RU	0.00	0.99	0	0	0
HU	RU	411.23	0	423.16	491.434	995.319
IS	RU	0.00	0	0.708	6.073	66.746
IN	RU	66.60	0	131.089	308.086	1175.145
ID	RU	0.13	0	0	0	0
IR	RU	0.00	0.992	13.955	91.275	687.828
IE	RU	8252.71	0	5.741	39.216	221.176
IM	RU	6.12	0	0	0	0
IL	RU	154.38	0.114	281.571	569.653	1771.854
IT	RU	959.56	0.903	2592.949	4427.006	7122.376
JP	RU	1319.06	0	2036.884	2832.464	4850.064
JE	RU	0.00	0.557	0	0	0
JO	RU	4.09	0	0	0	0
KZ	RU	915.95	0.001	917.61	942.362	1159.875
KI	RU	28.65	0	0	0	0
KP	RU	0.00	0.989	7.124	67.083	620.327
KR	RU	1289.38	0	1444.146	1812.142	3435.721
KW	RU	0.44	0	18.581	137.139	764.717
KG	RU	56.90	0	0	0	0
KV	RU	179.52	0.954	0	0	0
LB	RU	15.51	0	16.857	26.646	105.955
LI	RU	52.79	0.748	0.322	4.603	31.899
LT	RU	138.06	0.578	72.474	129.726	137.475
LU	RU	7991.49	0.792	0	0	0
MY	RU	0.00	0.983	23.896	167.507	1092.466
MT	RU	92.00	0	0	0	0
MH	RU	0.00	0.999	0	0	0
MU	RU	13.80	0	0	0	0
MX	RU	0.00	0	0.552	4.965	46.352
MD	RU	41.55	0	41.548	41.548	41.548
NA	RU	0.01	0	0	0	0
NL	RU	32367.87	0.786	305.304	1084.249	3443.992
NZ	RU	0.87	0	2.38	13.269	92.27
NG	RU	0.05	0	0	0	0
NO	RU	153.83	0.952	100.285	217.505	609.453
OM	RU	0.06	0	0.108	3.538	79.767
PK	RU	0.81	0	0.807	0.807	0.807
PA	RU	130.18	0.964	0	0	0
PH	RU	0.05	0	0	0	0
PL	RU	295.66	0.596	182.528	294.271	410.143
PT	RU	9.96	0	15.183	42.612	188.473
QA	RU	0.03	0	0	0	0
RO	RU	8.68	0	8.679	8.679	8.679
RU	RU	0.00	0	105898.104	116707.288	125180.597
SM	RU	0.53	0	0	0	0
SA	RU	0.19	0	0.368	4.238	44.877
RS	RU	41.36	0.295	34.245	41.189	41.354
SC	RU	116.23	0.998	0	0	0
SG	RU	517.29	0.821	6.237	49.91	237.219
SK	RU	22.17	0.42	21.839	26.856	88.299
SI	RU	152.10	0.901	23.991	102.809	145.924
ZA	RU	0.00	0	187.46	646.622	2150.876
ES	RU	195.37	0.884	90.734	198.374	435.829
LK	RU	0.77	0	0	0	0
KN	RU	90.52	0	0.187	2.313	31.378
VC	RU	0.00	0	35.859	197.898	1163.552
SE	RU	2420.51	0.898	1914.702	3353.21	6260.039
CH	RU	8552.04	0.753	1085.154	2548.045	5419.445
SY	RU	1.90	0	0	0	0
TW	RU	2.50	0	6.442	23.902	138.613
TH	RU	0.00	0	2.227	28.679	121.513
TR	RU	746.66	0.125	1028.024	1645.112	3452.926
TM	RU	7.30	0	0	0	0
UG	RU	0.02	0	0	0	0
UA	RU	197.11	0.122	467.385	1094.949	3024.058
AE	RU	149.47	0.742	111.35	179.436	453.498
GB	RU	6173.39	0.802	3350.219	5678.333	9494.949
US	RU	1317.10	0.233	7082.931	10322.442	15742.258
UZ	RU	28.23	0	28.226	28.226	28.226
VE	RU	0.00	0	0.164	2.146	32.714
VN	RU	0.00	0.983	19.155	135.459	1155.635
VG	RU	9243.85	0.094	0	0	0
YE	RU	0.04	0	0	0	0
n.a.	RU	11658.30	0	0	0	0
AF	US	2.00	0	1.0	1.0	1.0
DZ	US	-13.00	0	0	0	0
AD	US	0.00	0	0	0	0
AO	US	207.00	0.074	103.535	104.071	111.865
AG	US	3.00	0	0	0	0
AR	US	851.00	0.031	5192.552	5605.903	7616.202
AM	US	2.00	0	0	0	0
AW	US	-7.00	0	0	0	0
AU	US	47270.00	0.559	51187.635	51992.135	55102.949
AT	US	7088.00	0.975	3157.802	3198.133	3453.489
AZ	US	0.00	0	0.807	12.177	143.777
BS	US	805.00	0.955	0.083	7.216	180.098
BH	US	-162.00	0	980.684	1114.373	3455.711
BD	US	0.00	0	1.0	1.0	1.0
BB	US	1340.00	0.688	0.848	3.045	6.412
BY	US	2.00	0	21.695	182.732	1539.115
BE	US	89231.00	0.859	47408.024	52680.388	59215.202
BZ	US	13.00	0.013	0	0	0
BM	US	-7411.00	1.0	0.038	0.794	11.753
BO	US	-16.00	0	0	0	0
BW	US	-1.00	0	0	0	0
BR	US	551.00	0.175	35765.66	36099.953	36708.455
BN	US	0.00	0	0	0	0
BG	US	0.00	0.99	1.453	11.869	107.165
CM	US	0.00	0.993	0	0	0
CA	US	322118.00	0.163	394860.538	400447.38	410329.381
KY	US	94773.00	0.842	0	0	0
CL	US	2087.00	0.231	2439.048	2466.84	2482.203
HK	US	10991.00	0.896	8518.031	13579.442	19603.424
MO	US	139.00	0	0.003	1.292	60.088
CN	US	16769.00	0.071	39913.174	44636.884	51171.664
CO	US	-97.00	1.0	2418.868	2440.846	2452.682
CD	US	2.00	0	0	0	0
CG	US	-6.00	0	0	0	0
CR	US	-84.00	0	37.5	37.5	37.5
HR	US	0.00	0.975	3.992	4.076	7.67
CW	US	1630.00	0.99	1.086	10.845	96.598
CY	US	2600.00	0.99	0.071	3.526	89.456
CZ	US	108.00	0.64	105.831	218.498	1165.459
DK	US	14432.00	0.538	14404.206	14529.311	14737.696
DM	US	-1.00	0	0	0	0
DO	US	-8.00	0.114	1.0	1.0	1.0
EC	US	1.00	0	0.5	0.5	0.5
EG	US	-76.00	0	80.099	492.689	3152.825
SV	US	-18.00	0.987	1.87	14.078	146.217
GQ	US	3.00	0	0	0	0
EE	US	-5.00	0	0	0	0
ET	US	-1.00	0	0	0	0
FI	US	6482.00	0.305	9861.818	9954.038	10004.23
FR	US	232431.00	0.391	269531.662	285798.37	317689.367
GA	US	0.00	0.988	0	0	0
GE	US	-1.00	0	0	0	0
DE	US	279735.00	0.346	358933.205	363311.114	373776.498
GH	US	-33.00	0	0	0	0
GI	US	14807.00	0.805	0	0	0
GR	US	638.00	0.844	1045.004	1267.259	1978.484
GD	US	8.00	0	0	0	0
GT	US	-15.00	0	7.5	7.5	7.5
GY	US	0.00	0	0.5	0.5	0.5
HN	US	-16.00	0	0.004	0.14	2.468
HU	US	12126.00	0.661	2.983	44.138	101.977
IS	US	0.00	0.992	178.669	780.606	3691.114
IN	US	9629.00	0.867	12831.203	15081.887	20435.361
ID	US	1604.00	0	1053.926	1066.969	1208.601
IR	US	0.00	0.937	0.529	0.937	8.413
IE	US	35814.00	0.675	5247.627	14786.559	33944.358
IM	US	0.00	0.994	0	0	0
IL	US	7442.00	0.142	25624.04	27314.465	33616.134
IT	US	27690.00	0.893	71535.344	100896.782	158439.648
JM	US	0.00	0	0	0	0
JP	US	402164.00	0.036	408528.414	411411.38	414442.342
JE	US	0.00	0.954	0	0	0
JO	US	0.00	0.989	33.953	208.334	1524.337
KZ	US	1.00	0	0	0	0
KE	US	-8.00	0	0	0	0
KR	US	40585.00	0.101	39101.827	39662.753	39908.272
KW	US	1113.00	0	730.887	849.667	1758.832
LB	US	-14.00	0	308.067	311.095	338.116
LR	US	501.00	0	258.5	258.5	258.5
LI	US	0.00	0.981	411.376	581.451	614.394
LU	US	347864.00	0.747	304.164	1533.446	5356.119
MK	US	1.00	0	0.5	0.5	0.5
MY	US	1278.00	0.92	6863.011	12828.993	17704.61
ML	US	-2.00	0	0	0	0
MT	US	689.00	0.702	0.009	0.639	29.94
MH	US	38.00	0.97	0	0	0
MU	US	386.00	0.982	0	0	0
MX	US	15209.00	0.73	33965.698	34266.51	34440.088
FM	US	1.00	0	0	0	0
MC	US	0.00	0	0.062	2.204	72.568
MN	US	1.00	0.019	0	0	0
NA	US	2.00	0	0	0	0
NL	US	299780.00	0.791	43213.535	76179.65	113638.364
NZ	US	439.00	0.981	522.717	596.432	989.825
NG	US	29.00	0	0	0	0
NO	US	20706.00	0.401	29623.941	30185.708	32348.957
OM	US	-33.00	0	-1.5	-1.5	-1.5
PK	US	-117.00	0	79.887	80.749	81.195
PQ	US	2.00	0	0	0	0
PA	US	2592.00	0.654	0.696	11.661	141.702
PY	US	0.00	0.997	0.017	0.313	5.297
PE	US	117.00	0.014	240.53	249.687	342.296
PH	US	1173.00	0	1022.001	1022.007	1022.038
PL	US	1496.00	0.96	160.922	933.846	4561.431
PT	US	942.00	0.917	756.128	2502.234	8697.374
QA	US	0.00	0.972	2760.399	2788.328	2810.799
RO	US	85.00	0.016	84.503	85.602	99.019
RU	US	4358.00	0.032	4887.472	6225.153	9313.878
WS	US	0.00	0.983	0	0	0
SM	US	0.00	0	0	0	0
SA	US	0.00	0.875	11477.745	11588.812	11968.164
RS	US	4.00	0	2.734	11.907	108.986
SG	US	21654.00	0.871	7373.543	16836.401	25269.0
SK	US	0.00	0.996	0.021	0.353	5.445
SI	US	0.00	0.983	9.095	68.703	425.114
SO	US	0.00	0	0	0	0
ZA	US	2942.00	0.121	10698.249	23732.292	65032.287
ES	US	66985.00	0.606	65151.726	65790.915	66180.051
LK	US	56.00	0.012	0	0	0
SZ	US	-5.00	0	0	0	0
SE	US	43416.00	0.742	48364.673	50953.509	58415.168
CH	US	249225.00	0.666	126106.43	146919.388	165082.115
TW	US	6890.00	0.449	10325.24	10712.174	12403.406
TH	US	2468.00	0.884	516.163	544.656	820.872
TL	US	-4.00	0	0	0	0
TT	US	175.00	0.017	222.04	223.389	224.332
TN	US	-17.00	0	0	0	0
TR	US	625.00	0.586	1192.3	1202.959	1208.918
TM	US	-3.00	0	0	0	0
UA	US	6.00	0	3.699	65.986	879.903
AE	US	2755.00	0.023	24375.306	24627.948	24757.669
GB	US	512139.00	0.629	353239.965	451635.583	512242.32
US	US	0.00	0	341077.633	403513.314	500039.83
UG	US	393.00	0.231	320.502	323.662	325.836
VU	US	0.00	0.996	0	0	0
VE	US	4187.00	0.041	4398.229	4491.213	4583.244
VN	US	1515.00	0	763.0	763.0	763.0
VG	US	0.00	0.989	0	0	0
n.a.	US	12688.00	0	0	0	0
DZ	GB	0.00	0	2.522	28.971	366.048
AD	GB	0.00	0.989	0.822	6.493	77.544
AG	GB	0.00	0	0.165	2.438	33.284
AR	GB	0.00	0	5.049	29.838	231.574
AU	GB	19786.33	0.456	27302.448	34889.144	46042.344
AT	GB	4507.94	0.918	2275.147	4285.126	7318.005
AZ	GB	0.00	0	5.065	30.845	193.048
BS	GB	1619.72	0.842	0	0	0
BH	GB	0.00	0.976	389.334	1108.835	3097.535
BD	GB	0.00	0.988	1.119	10.973	96.504
BB	GB	0.00	0.919	5.843	33.871	240.274
BY	GB	0.00	0.982	3.479	24.75	192.33
BE	GB	33363.50	0.841	4363.32	8548.841	17497.526
BZ	GB	124.48	0	0	0	0
BM	GB	33427.22	0.775	0	0	0
BR	GB	42.98	0.386	481.012	1052.504	2644.445
BN	GB	0.00	0	518.946	1981.332	7179.508
BG	GB	0.00	0	0.518	5.639	63.67
CA	GB	34399.34	0.493	34426.71	41864.13	51949.892
KY	GB	29346.07	0.751	0	0	0
CL	GB	0.00	0.995	1836.947	3450.783	4077.22
HK	GB	17939.88	0.842	9581.031	16000.351	25412.314
CN	GB	2707.43	0.089	16115.154	23505.296	34061.909
CO	GB	0.00	0.963	33.231	154.946	751.268
CR	GB	0.00	0.981	4.489	28.011	233.351
HR	GB	0.00	0.994	0.294	4.334	38.858
CW	GB	1244.80	0.985	0.735	5.425	43.696
CY	GB	5558.61	0.909	16.595	99.57	538.768
CZ	GB	0.00	0.989	207.462	622.664	2191.281
DK	GB	11135.00	0.533	8132.165	10749.721	12857.828
DO	GB	0.00	0.97	13.363	77.369	439.728
EG	GB	17.78	0.754	737.638	2025.394	5831.7
FI	GB	3197.94	0.794	1336.008	2797.325	3636.664
FR	GB	109079.70	0.383	112041.931	128375.569	146383.011
DE	GB	82781.90	0.309	77751.844	85947.22	97263.243
GI	GB	1924.99	0.76	0	0	0
GR	GB	1350.01	0.05	1613.608	2257.45	4713.688
GT	GB	8766.92	0	0	0	0
GG	GB	9765.72	0.934	0	0	0
GY	GB	0.00	0	0.012	0.249	6.455
HU	GB	151.15	0.966	32.15	184.523	1076.456
IS	GB	629.81	0.787	329.431	658.147	1315.113
IN	GB	14507.80	0.294	17925.6	20846.506	25301.047
ID	GB	0.00	0.979	113.397	346.588	1280.883
IR	GB	0.00	0.971	48.078	199.283	904.202
IE	GB	23519.23	0.735	8701.95	13484.086	18576.586
IM	GB	5880.18	0.95	0	0	0
IL	GB	1006.21	0.616	3393.42	7296.499	16829.957
IT	GB	9519.73	0.723	9245.152	13436.659	20501.354
JM	GB	13.34	0.965	2.04	11.932	22.691
JP	GB	67728.76	0.019	76701.459	83217.379	95713.055
JE	GB	73490.38	0.654	0	0	0
JO	GB	0.00	0.984	2.198	19.368	140.168
KZ	GB	0.00	0	814.994	2933.346	9474.557
KR	GB	3614.35	0.122	3914.624	4615.25	6582.802
KW	GB	400.11	0	519.614	795.161	1722.135
LB	GB	90.40	0	406.584	889.625	2103.317
LR	GB	0.00	0.942	108.927	376.053	1265.869
LY	GB	0.00	0.958	121.555	394.367	1183.949
LI	GB	4156.73	0.724	4.06	38.944	339.05
LU	GB	104733.28	0.662	10.767	65.273	438.314
MY	GB	1062.52	0.099	2742.944	4681.842	7887.291
MT	GB	1301.11	0.905	0.13	2.328	35.325
MH	GB	189.68	0.66	0	0	0
MU	GB	417.90	0.96	0.002	0.087	3.32
MX	GB	0.00	0.97	1233.767	2995.886	7403.496
MC	GB	0.00	0.986	0.837	7.529	86.716
MA	GB	0.00	0.98	3.075	22.614	153.337
NL	GB	231564.66	0.725	17984.926	30513.883	49097.818
NZ	GB	1336.67	0.736	1146.363	1792.185	3361.927
NG	GB	0.00	0.951	72.314	287.052	1039.764
NO	GB	7748.86	0.594	9066.565	12707.855	20338.017
OM	GB	4.45	0.446	74.532	320.089	1448.332
PK	GB	10.37	0.505	27.089	100.942	331.691
PA	GB	832.83	0.931	0	0	0
PH	GB	17.78	0.962	7.292	21.999	124.697
PL	GB	583.87	0.953	28.454	192.273	480.737
PT	GB	1673.07	0.93	422.223	1161.537	1991.447
QA	GB	0.00	0.885	1491.533	3080.369	6665.181
RO	GB	0.00	0	0.449	5.209	57.98
RU	GB	0.00	0.931	3809.361	6111.516	10309.333
SA	GB	72.61	0	2091.432	3839.043	7736.507
RS	GB	0.00	0	8.343	57.854	380.554
SC	GB	10.37	0.808	0	0	0
SG	GB	4297.51	0.833	318.305	787.229	2198.235
SK	GB	0.00	0.982	2.892	18.055	125.516
ZA	GB	3243.88	0.348	8524.337	12095.564	17510.813
ES	GB	39565.25	0.43	31637.459	37690.169	42153.396
LK	GB	56.31	0	56.339	56.876	70.553
KN	GB	97.81	0	0.359	4.768	60.583
LC	GB	100.77	0	0	0	0
VC	GB	0.00	0	4.351	34.539	237.165
SE	GB	15659.24	0.775	20411.467	27798.263	37743.64
CH	GB	61916.75	0.56	43097.151	54105.428	64797.718
TW	GB	226.73	0.032	394.077	766.121	1991.5
TH	GB	435.68	0.74	545.157	932.371	1997.537
